Date,MSFT.O,AAPL.O,V.N,MA.N,INTC.O,CSCO.O,JNJ.N,UNH.N,MRK.N,PFE.N,ABT.N,MDT.N,JPM.N,BAC.N,WFC.N,C.N,USB.N,GOOGL.O,T.N,DIS.N,VZ.N,CMCSA.O,AMZN.O,HD.N,MCD.N,NKE.N,SBUX.O,LOW.N
2012/3/21,31.91,602.5,116.75,417.94,27.775,20.5,64.76,53.97,37.7,21.77,60.39,38.94,45.12,9.82,34.02,37.8,31.54,639.98,31.84,43.27,39.78,29.71,191.73,49.79,96.72,110.44,53.81,30.86
2012/3/22,31.995,599.34,117.28,416.84,27.895,20.38,64.46,53.88,37.595,21.73,60.11,38.86,44.65,9.6,33.355,36.9,31.37,646.05,31.71,43.29,39.66,29.89,192.4,49.68,95.8,110.99,55.205,30.95
2012/3/23,32.01,596.05,118.78,424.01,27.875,20.53,64.55,53.66,38.005,21.82,60.4,38.7,45.16,9.85,33.53,37.135,31.7,642.59,31.52,43.65,39.42,29.985,195.04,49.54,95.55,107.42,55.345,30.735
2012/3/26,32.59,606.98,120.06,435.68,28.19,20.84,65.17,55.1,38.66,22.16,60.99,40,46.17,9.93,34.39,37.43,32.11,649.33,31.79,44.38,39.33,30.35,202.87,50.13,96.97,108.55,55.91,31.18
2012/3/27,32.52,614.48,119.81,430.66,28.19,20.91,65.4,55.43,38.8,22.5,61.33,39.57,45.89,9.6,34,36.78,31.69,647.02,31.64,44.15,38.66,30.17,205.44,50.04,97.34,107.88,56.26,31.18
2012/3/28,32.19,617.62,119.35,427.52,27.8,21.08,65.62,55.44,38.31,22.41,61.12,39.44,46.27,9.75,34.47,37.06,31.82,655.76,31.36,43.51,38.26,29.92,201.16,49.91,97.08,107.23,56.03,31.22
2012/3/29,32.12,609.86,119,428.22,28.16,21.03,65.54,58.11,38.01,22.42,60.98,39.21,45.67,9.53,33.94,36.51,31.55,648.41,31.21,43.01,38.07,29.83,204.61,49.91,97.64,107.85,55.73,31.21
2012/3/30,32.255,599.55,118,420.54,28.115,21.15,65.96,58.94,38.4,22.645,61.29,39.19,45.98,9.57,34.14,36.55,31.68,641.24,31.23,43.78,38.23,30.01,202.51,50.31,98.1,108.44,55.89,31.38
2012/4/2,32.29,618.63,118.98,432.05,28.38,21.19,66.21,59.12,38.51,22.59,61.24,39.54,46.13,9.68,34.51,36.87,31.71,646.92,31.45,43.84,38.52,30.05,198.05,49.99,98.36,109.02,56.67,31.38
2012/4/3,31.94,629.32,120.36,438.02,28.11,20.82,65.88,59.4,38.72,22.54,61.14,39.1,45.42,9.49,34.48,36.37,31.59,642.62,31.43,43.29,38.46,29.66,199.66,50,99.4,109.87,56.91,31.07
2012/4/4,31.21,624.31,118.98,430.94,27.93,20.36,65.39,59.06,38.905,22.385,61.46,38.26,44.41,9.23,33.88,34.79,31.31,635.15,31.57,42.93,38.39,29.32,193.99,49.85,97.48,109.49,56.96,31.27
2012/4/5,31.52,633.68,121.01,439.85,28.07,20.22,65.34,59.01,38.88,22.34,61.3,38.2,44.34,9.23,33.73,34.79,31.35,632.32,30.94,43.08,37.66,29.56,194.39,50.62,98.62,110.39,58.18,31.35
2012/4/9,31.1,636.23,119.5,439.29,27.76,19.96,64.92,58.14,38.73,22.05,60.97,37.75,43.89,8.93,33.42,33.97,31.01,630.84,30.64,42.11,37.46,29.33,191.87,50.58,98.88,110.69,57.42,31.09
2012/4/10,30.47,628.44,116.74,424.73,27.45,19.55,64.2,57.56,38.45,21.985,60.14,37.37,42.96,8.54,32.92,32.86,30.34,626.86,30.13,40.99,36.8,28.65,186.98,49.36,97.67,106.46,56.78,30.33
2012/4/11,30.345,626.2,117.38,430.04,27.85,20.015,64.13,58.02,38.48,21.95,59.66,37.72,44.01,8.86,33.62,33.585,30.87,635.96,30.45,41.37,37.38,28.975,187.97,49.75,98.56,108.25,59.295,31.02
2012/4/12,30.975,622.77,121.02,433.98,28.48,20.06,64.15,58.46,38.265,21.915,59.72,38.24,44.84,9.17,34.02,34.625,31.34,651.01,30.84,42.15,37.55,29.68,190.69,50.63,97.645,108.65,60.625,31.5
2012/4/13,30.81,605.23,123.16,440.46,28.09,19.85,63.54,58.05,37.78,21.85,59.59,37.51,43.21,8.68,32.84,33.41,30.9,624.6,30.54,41.85,37.26,29.5,188.46,50.96,96.97,108.8,61.67,31.69
2012/4/16,31.075,580.13,120.83,432.66,28.405,19.725,63.98,57.36,37.95,21.98,59.85,37.55,43.33,8.79,33.15,34,31.16,606.07,30.61,41.66,37.43,29.765,185.5,51.69,96.58,109.4,59.65,32.05
2012/4/17,31.44,609.7,122.08,438.43,28.47,20.08,64.22,58.1,38.51,22.31,60.43,38.02,43.9,8.92,33.68,35.08,31.55,609.57,30.89,42.68,37.74,30.09,188.39,52.03,97.11,109.83,58.66,32.08
2012/4/18,31.14,608.34,121.78,436.7,27.95,20.06,63.26,57.32,38.4,22.45,60.46,38.02,43.29,8.92,33.57,35.08,31.3,607.45,30.75,42.49,37.66,29.86,191.07,51.81,97.34,110.56,60.33,31.96
2012/4/19,31.01,587.44,121.19,436.82,27.69,19.905,63.03,58.71,38.36,22.335,59.51,37.92,43.22,8.77,33.12,34.85,31.22,599.3,30.74,42.08,38.15,29.475,191.1,51.56,95.28,109.61,58.81,32
2012/4/20,32.42,572.98,121.01,440.44,27.6,19.91,63.71,59.51,38.73,22.56,59.88,37.61,42.72,8.36,33,33.89,31.29,596.06,30.86,42.35,38.73,29.45,189.98,51.46,95.94,110.77,59.16,31.65
2012/4/23,32.12,571.7,118.1,430.26,27.45,19.68,63.37,59.19,38.27,22.38,59.87,37.17,42.85,8.18,32.69,33.25,31.21,597.6,30.61,42.01,38.57,29.04,188.24,51.1,95.19,109.75,58.56,31.12
2012/4/24,31.92,560.28,118.93,430.3,27.31,19.42,63.77,58.72,38.27,22.63,60.73,37.12,43.28,8.21,33.07,33.42,31.62,601.27,31.72,42.18,39.5,29.35,190.33,51.23,94.59,106.75,58.05,31.38
2012/4/25,32.2,610,121.79,445.06,27.86,19.49,64.43,58.87,38.43,22.88,61.6,37.2,43.16,8.26,33.35,33.68,31.68,609.72,31.74,42.7,39.48,29.65,194.42,51.91,95.22,109.03,59.5,31.73
2012/4/26,32.11,607.7,123.19,453.98,28.22,19.6,64.75,58.37,38.47,23.06,61.86,37.1,43.8,8.27,33.84,33.88,32.1,615.47,32.44,43.36,40.14,30.24,195.99,51.87,95.83,110.35,60.66,31.43
2012/4/27,31.98,603,123.52,457.58,28.38,19.98,64.84,57.91,38.46,23.08,61.99,37.69,43.34,8.25,33.77,33.5,32.43,614.98,32.67,43.35,40.23,30.28,226.85,51.95,97.38,110.64,57.43,31.61
2012/4/30,32.015,583.98,122.98,452.27,28.395,20.155,65.1,56.15,39.24,22.9,62.06,38.2,42.98,8.11,33.415,33.045,32.17,604.85,32.91,43.11,40.38,30.345,231.9,51.79,97.45,111.87,57.37,31.47
2012/5/1,32.01,582.13,123.09,455.9,28.95,19.98,65.22,57.13,39.37,22.78,62.23,38.48,43.79,8.31,34.09,33.6,32.29,604.43,33.06,43.79,40.56,30.6,230.04,52.32,97.2,111.3,57.66,31.61
2012/5/2,31.8,585.98,122.19,451.45,29.18,19.84,65.33,56.66,39.29,22.66,62.65,38.38,43.2,8.16,33.57,32.7,32.04,607.26,33.04,43.54,40.6,30.415,230.25,52.71,97.51,114.28,57.92,32.1
2012/5/3,31.76,581.82,116.41,442.43,28.56,19.72,65.34,55.72,39.17,22.6,63.05,38.54,43.01,8,33.39,32.48,31.94,611.02,33.11,43.81,40.64,30.36,229.45,52.47,97.04,114.4,56.65,31.66
2012/5/4,30.98,565.25,117.79,439.69,27.9,19.12,64.74,54.72,38.84,22.38,62.41,38.15,41.75,7.74,33.03,31.6,31.67,596.97,32.86,42.93,40.26,29.45,223.99,51.96,95.87,111.81,55.56,31.09
2012/5/7,30.65,569.48,118.51,436.12,27.76,19.08,64.8,55.25,38.54,22.45,62.51,38.08,41.78,7.96,33.5,31.67,31.84,607.55,33,43.82,40.53,29.63,225.16,51.39,95.51,111.42,55.48,30.79
2012/5/8,30.5,568.18,118.14,431.64,27.37,18.71,64.98,55.82,38.63,22.42,62.6,38.22,41.38,7.79,33.15,31.32,31.57,612.79,33.04,44.3,40.55,29.4,223.9,50.62,93.55,108.73,54.19,30.67
2012/5/9,30.76,569.18,117.42,422.83,27.19,18.78,64.28,55.22,38.09,22.45,61.23,38.03,40.64,7.73,32.63,30.45,31.47,609.15,32.81,45.02,40.25,29.17,222.98,50.11,91.93,108.15,54.1,30.34
2012/5/10,30.74,570.52,118.17,422.98,27.24,16.81,64.57,55.29,38.39,22.83,62.22,38.42,40.74,7.7,33.19,30.65,31.91,613.66,33.13,45.28,40.55,29.63,226.69,50.62,91.87,107.56,54.85,30.18
2012/5/11,31.16,566.71,117.92,422.4,27.63,16.505,64.34,55.2,38.03,22.65,62.04,38.03,36.96,7.55,33.31,29.35,32.21,605.23,33.59,45.56,41.16,29.38,227.68,50.34,91.9,108.26,55.01,29.62
2012/5/14,30.68,558.22,116.72,414.44,27.015,16.705,63.93,55.16,38.225,22.585,61.68,38.09,35.79,7.35,32.41,28.14,31.56,604,33.53,45.17,40.89,28.89,222.93,49.88,90.88,107.47,53.67,29.56
2012/5/15,30.21,553.17,116.61,414.47,26.88,16.54,63.61,54.94,37.74,22.3,61.89,38.15,36.24,7.3,32.24,27.79,31.3,611.11,33.35,45.01,41.05,28.85,224.39,48.67,91.01,107.22,53.34,29.03
2012/5/16,29.9,546.075,117.53,409.37,26.495,16.69,63.71,54.9,38.23,22.64,62.55,38.22,35.46,7.11,31.97,26.92,31.06,628.93,33.19,45.08,40.88,28.85,224.06,48.77,91.43,107,53.02,29.32
2012/5/17,29.72,530.12,115.01,398.58,26.19,16.55,63.55,54.88,38.03,22.56,62.23,37.07,33.93,6.98,31.44,26.41,30.65,623.05,33.29,44.33,41.37,28.35,218.36,47.02,89.62,104.34,51.67,28.37
2012/5/18,29.27,530.38,112.64,394.56,26.07,16.47,63.35,53.99,37.821,22.57,61.57,36.96,33.49,7.02,30.94,26.01,30.27,600.4,33.66,43.81,41.53,28.275,213.85,47.05,89.85,105.44,51.53,28.48
2012/5/21,29.75,561.28,116.22,410.58,26.15,16.67,63.47,55.55,37.6,22.54,61.81,37.7,32.51,6.83,31.4,26.25,30.72,614.11,33.63,44.39,41.34,28.71,218.11,47.61,91.27,107.23,53.7,25.6
2012/5/22,29.76,556.97,118.39,413.44,26.03,16.73,63.52,55.72,37.46,22.37,61.99,36.96,34.01,6.98,31.67,26.92,31,600.8,33.54,44.39,41.39,28.96,215.33,48.26,91.34,108.45,53.37,25.49
2012/5/23,29.11,570.56,119.17,417.09,25.44,16.69,63.27,55.36,37.34,22.09,61.37,36.79,34.26,7.17,31.74,27.15,31.09,609.46,33.36,44.21,41.28,28.79,217.28,48.74,91.48,107.52,55.29,26.19
2012/5/24,29.07,565.32,119.77,419.83,25.65,16.39,63.1,56.22,37.6,22.14,62.42,37.07,33.97,7.14,31.81,26.66,31.13,603.66,33.64,44.44,41.39,28.93,215.24,49.71,91.53,107.48,54.76,27.1
2012/5/25,29.06,562.29,119.37,413.96,25.74,16.33,62.51,56.12,37.55,22.13,62.25,36.88,33.5,7.15,31.86,26.47,30.93,591.53,33.69,44.5,41.45,28.85,212.89,49.44,91.05,108.79,54.56,27.24
2012/5/29,29.56,572.27,120.28,416.05,26.09,16.59,62.59,56.15,37.59,22.18,62.14,37.28,33.63,7.44,32.25,27.02,31.21,594.34,33.94,45.48,41.75,29.22,214.75,49.78,90.9,110.92,55.58,27.49
2012/5/30,29.34,579.17,117.49,411.58,26.13,16.39,62.21,56.17,37.4,22.04,61.79,36.65,32.96,7.2,31.7,26,30.75,588.23,33.84,45.2,41.42,28.95,209.23,49.71,90.11,108.61,54.73,26.99
2012/5/31,29.19,577.73,115.2,406.51,25.84,16.33,62.43,55.77,37.58,21.87,61.79,36.84,33.15,7.35,32.05,26.51,31.11,580.86,34.17,45.71,41.64,28.91,212.91,49.34,89.34,108.18,54.89,26.72
2012/6/1,28.45,560.99,112.25,391.78,25.14,15.96,61.78,55.04,37.18,21.64,60.52,36.11,31.93,7.02,30.16,25.39,29.6,570.98,33.9,44.4,41.03,28.63,208.22,47.96,86.71,104.6,52.15,26.36
2012/6/4,28.55,564.29,114.16,400.26,25.04,16.11,62.34,54.91,37.46,21.61,60.22,35.89,31,6.9,30.05,24.82,28.79,578.59,34.15,44.41,41.34,28.95,214.57,48.76,86.32,104.7,53.9,26.66
2012/6/5,28.505,562.83,113.81,408.2,25.43,16.12,62.21,56.04,37.5,21.6,60.3,36.18,31.99,7.1,30.515,25.75,29.22,570.41,34.06,44.84,41.2,29.03,213.21,48.92,87.08,105.51,52.41,26.43
2012/6/6,29.35,571.46,116.34,419.98,26.07,16.685,62.8,57.7,37.9,21.91,61.04,36.82,33.07,7.64,30.97,27.14,29.7,580.57,34.56,45.53,41.77,29.755,217.64,50.6,88.66,107.07,53.47,27.48
2012/6/7,29.23,571.72,116.81,415.71,25.94,16.58,62.8,57.45,38.33,21.94,61.2,37.05,32.81,7.42,31.18,26.91,29.58,578.23,34.16,45.63,41.64,30.01,218.8,51.24,88.38,107.36,53.44,27.69
2012/6/8,29.65,580.32,116.58,416.55,26.41,16.73,62.98,58,38.46,22.14,61.88,37.33,33.68,7.56,31.43,27.77,30.1,580.45,34.55,46.24,42.44,30.27,218.48,52.35,87.75,108.64,53.59,27.92
2012/6/11,28.895,571.17,116.35,413.84,25.985,16.475,62.12,57.46,38.47,22.1,61.51,37.03,32.82,7.28,30.99,26.48,29.87,568.5,34.59,45.8,42.56,29.94,216.5,51.35,86.59,107.46,52.83,26.98
2012/6/12,29.29,576.16,117.16,417.75,26.52,16.79,63.08,57.84,38.85,22.19,61.96,37.67,33.77,7.49,31.3,27.62,30.63,565.1,34.98,46.38,42.94,30.45,216.42,52.24,87.51,107.6,53.04,27.44
2012/6/13,29.13,572.16,114.9,409.75,26.54,16.655,64.45,58.01,38.4,22.19,61.51,37.15,34.3,7.5,31.58,27.67,30.56,561.09,34.98,46.23,42.99,29.98,214.73,50.97,87.97,102.22,51.27,26.88
2012/6/14,29.34,571.53,116.49,419.05,26.98,16.92,65.45,59.25,38.79,22.56,62.14,37.49,34.65,7.66,32.03,27.91,31.01,559.05,35.69,47.18,43.75,30.71,214.45,52.16,89.72,100.02,52.33,27.77
2012/6/15,30.02,574.13,118.4,426.69,27.34,17.1,66.01,58.9,38.94,22.61,62.5,37.77,35.03,7.9,32.45,28.31,31.58,564.51,35.71,47.09,43.55,31.09,218.35,51.87,90.5,101.75,52.54,28.05
2012/6/18,29.84,585.78,120.1,425.62,27.42,17.14,66.3,59.42,38.85,22.62,62.7,37.96,34.62,7.76,32.46,27.55,31.52,570.85,35.63,47.1,43.82,31.16,222.66,52.32,90.24,101.4,54.18,28.43
2012/6/19,30.7,587.41,121.35,427.57,27.51,17.18,66.72,60.26,39.23,22.71,62.87,38.41,35.38,8.11,32.96,28.5,31.76,581.53,35.47,47.51,43.73,31.31,224.03,52.97,89.6,101.54,55.12,28.54
2012/6/20,30.93,585.741,122.59,428.81,27.64,17.51,67,59.6,39.21,22.67,62.82,38.4,36.45,8.14,32.81,28.86,31.72,577.51,35.41,47.73,43.3,31.19,223.02,52.83,88.65,101.2,55.64,28.63
2012/6/21,30.135,577.67,119.48,421.17,26.71,16.925,66.39,58.34,39.45,22.6,62.24,37.8,35.51,7.82,32.34,27.83,31.23,565.21,35.03,47.4,43.33,30.675,220.575,51.26,87.64,98.66,54.07,27.5
2012/6/22,30.7,582.1,124.95,435.08,26.935,17.13,66.63,59.07,40.18,22.725,62.32,38.16,35.99,7.94,32.81,27.99,31.72,571.48,35.17,47.47,43.95,30.83,222.16,52.02,88.35,99.4,54.64,27.31
2012/6/25,29.865,570.765,121.27,428.52,26.05,16.935,66.5,57.69,39.785,22.47,62.12,37.28,35.32,7.6,32.225,26.75,31.16,560.7,34.95,46.7,43.65,30.325,220.07,51.52,88.12,97.46,53.295,26.93
2012/6/26,30.02,572.025,123.16,432.22,26.005,16.815,66.42,58.8,40.065,22.435,62.35,37.31,35.71,7.615,32.325,26.73,31.305,564.68,34.98,47.3,43.84,30.575,225.61,51.88,89.1,98.45,53.95,27.26
2012/6/27,30.17,574.5,123.44,431.92,26.22,16.73,66.84,59.29,40.53,22.61,62.87,37.91,36.78,7.77,32.73,27.1,31.43,569.3,35.19,47.87,43.78,31.04,225.62,51.55,88.33,98.11,52.75,27.3
2012/6/28,29.91,569.05,121.52,421.3,25.83,16.48,66.94,59.6,40.68,22.53,62.91,37.84,35.88,7.74,32.48,26.39,31.44,564.31,35.39,47.82,43.97,31.04,221.31,51.69,88.18,96.89,52.09,27.24
2012/6/29,30.59,584,123.63,430.11,26.65,17.17,67.56,58.5,41.75,23,64.47,38.73,35.73,8.18,33.44,27.41,32.16,580.07,35.66,48.5,44.44,31.97,228.35,52.99,88.53,87.78,53.32,28.44
2012/7/2,30.56,592.52,126.62,439.9,26.665,17.08,68,56.26,41.85,22.995,64.63,39.17,36.28,8.05,33.55,27.46,32.44,580.47,36.2,48.72,44.93,32.255,229.32,53.01,88.08,88.85,52.79,28.62
2012/7/3,30.76,599.41,126.34,441.77,26.86,17.15,68.04,54.88,41.81,22.87,64.83,39.05,35.88,8.06,33.48,27.65,32.58,587.83,36,48.59,44.95,32.03,229.53,51.65,88.58,90.48,51.94,27.62
2012/7/5,30.7,609.94,127.01,444.05,26.55,16.94,67.78,55.81,41.63,22.67,64.75,38.41,34.38,7.82,33.13,26.84,32.29,595.92,35.77,48.11,44.89,31.45,227.06,52.11,89.3,92.2,52.4,27.58
2012/7/6,30.185,605.88,125.28,441.63,26.155,16.77,67.64,55.82,41.51,22.54,64.75,37.96,33.9,7.66,33.05,26.36,32.01,585.98,35.44,48.04,44.42,31.36,225.05,52.15,89.66,91.38,51.97,27.85
2012/7/9,30,613.89,123.65,431.27,26.17,16.65,67.78,56.09,42.13,22.65,65.61,38.26,33.96,7.56,33.26,26.11,32.03,586.01,35.54,48,44.74,31.27,225.05,52.12,89.8,90.28,52.39,27.28
2012/7/10,29.74,608.21,122.28,420.25,25.56,16.41,67.88,55.7,41.37,22.44,65.67,38,34.25,7.48,32.97,25.88,31.9,581.7,35.44,47.36,44.7,31.35,219.5,52.22,90.25,91.29,52.34,27.17
2012/7/11,29.3,604.43,120.74,419.89,25.39,16.38,67.9,56.04,41.21,22.34,65.18,38.02,34.59,7.63,33.27,25.87,32.28,571.19,35.26,47.27,44.9,31.73,218.37,51.67,89.53,92.26,52.16,26.67
2012/7/12,28.63,598.9,122.64,424.25,24.74,15.98,67.71,54.57,42.91,22.67,65.13,37.66,34.04,7.48,32.85,25.28,32.01,570.48,34.87,47.41,44.67,31.1,215.36,51.55,91.93,91.82,52.68,26.57
2012/7/13,29.39,604.97,124.09,429.6,25.25,16.31,68.61,55.2,43.47,22.81,65.45,37.56,36.07,7.82,33.91,26.65,32.7,576.52,35.35,48.19,45.21,31.87,218.39,52.09,92.29,93.97,53.61,26.72
2012/7/16,29.44,606.91,127.15,436.89,25.13,16.19,68.45,55.16,43.35,23.13,65.48,37.85,35.09,7.81,34.02,26.81,32.78,574.92,35.42,47.86,45.27,31.83,216.01,51.45,91.65,93.02,52.9,25.8
2012/7/17,29.66,606.94,128.23,435.68,25.38,16.23,69,55.9,44.19,23.62,66.46,38.86,34.99,7.92,34.12,27.38,32.95,576.73,35.82,49.35,45.66,32.33,216.93,50.72,91.89,92.76,53.73,25.55
2012/7/18,30.45,606.26,127.82,436.82,26.21,16.7,69.37,56.35,43.94,23.67,65.93,38.98,34.96,7.53,33.96,27.1,33.48,580.76,36.19,49.35,45.89,32.39,217.47,50.91,92.22,94.63,53.3,25.66
2012/7/19,30.665,614.32,125.39,427.94,26.06,16.675,69.53,54.99,43.94,23.795,65.8,38.96,34.46,7.26,34.15,26.59,33.8,593.06,35.48,48.99,44.54,32.38,226.17,50.96,92.76,95.26,54.2,26.03
2012/7/20,30.115,604.3,125.75,423.15,25.52,16.36,68.63,55.41,43.41,23.7,65.06,38.22,33.9,7.07,33.81,25.87,33.6,610.82,35.29,48.59,44.49,32.18,228.29,50.7,91.58,93.08,51.96,25.79
2012/7/23,29.28,603.83,124.47,415.98,25.26,16.07,68.11,54.51,43.27,23.6,64.64,37.71,34.44,7.09,33.44,25.34,33.42,615.51,35.38,47.98,44.35,31.37,226.01,50.96,88.94,92.85,50.6,25.77
2012/7/24,29.15,600.92,122.65,409.89,25.005,15.12,67.35,54.9,42.69,23.375,63.94,37.35,34.73,7.04,33.23,25.24,33.465,607.57,34.63,48.16,43.77,31.4,223.04,51.17,88.06,92.96,50.48,25.77
2012/7/25,28.83,574.97,122.2,412.33,25.13,15.42,67.53,52.48,42.62,23.33,64.12,37.52,35.17,7.07,33.16,25.79,33.29,607.99,35.33,48.3,43.72,31.36,217.05,51.07,88.04,93.51,50.41,25.6
2012/7/26,29.16,574.88,126.77,423.77,25.5,15.38,68.74,52.01,43.33,23.485,64.65,37.56,35.81,7.17,33.775,26.28,33.59,613.36,36.3,49.71,44.46,31.605,220.01,52.91,89,96.58,52.405,26.6
2012/7/27,29.755,585.16,129.14,436.75,26.02,15.69,69.52,53.34,45.095,23.825,66.39,39.03,36.89,7.31,34.145,27.3,33.92,634.96,37.14,49.935,44.9,32.285,237.32,53.71,89.19,97.03,47.47,27.07
2012/7/30,29.64,595.03,130.84,441.15,25.76,15.87,69.45,53.26,44.48,23.71,66.6,38.81,36.14,7.28,33.96,27.14,33.75,632.3,37.43,49.8,44.95,32.21,236.09,53.25,89.33,95.85,46.88,26.86
2012/7/31,29.47,610.76,129.07,436.57,25.7,15.95,69.22,51.09,44.17,24.04,66.31,39.42,36,7.34,33.81,27.13,33.5,632.97,37.92,49.14,45.14,32.55,233.3,52.18,89.36,93.35,45.28,25.37
2012/8/1,29.41,606.81,127.46,427.2,25.93,15.98,69.38,51.21,44.28,23.94,66.1,39.27,36,7.22,33.9,26.78,33.32,632.68,37.64,48.82,45.21,33.55,232.09,51.68,89.43,93,43.78,25.14
2012/8/2,29.19,607.79,129.27,423.43,25.91,15.74,68.45,51.1,43.91,23.92,66.34,38.9,35.17,7.18,33.34,26.18,32.9,628.75,37.54,48.98,44.62,34.12,230.81,51.39,89.59,92.54,43.16,24.85
2012/8/3,29.75,615.7,130.98,424.13,26.23,16.35,69.12,51.61,44.15,24.28,66.59,39.81,36.09,7.43,34.34,27.4,33.49,641.33,37.58,49.77,44.46,34.61,234.97,52.29,89.59,94.57,43.91,25.49
2012/8/6,29.95,622.55,131.03,419.85,26.31,16.69,68.84,51,44.49,24.26,66.37,39.74,36.3,7.64,34,28.56,33.01,642.82,37.61,49.65,44.69,34.94,233.99,52,89.69,95.52,43.48,25.41
2012/8/7,30.26,620.914,130.4,416.4,26.5,17.14,68.29,52.54,44,23.74,66.03,40.24,37.01,7.67,33.96,28.89,33.09,640.54,37.44,49.81,44.47,34.55,236.56,52.4,89.01,96.17,45.31,25.97
2012/8/8,30.33,619.86,131.15,424.45,26.6,17.16,68.35,52.73,44.06,23.83,65.9,40.4,37.16,7.67,33.82,28.86,33.02,642.23,37.43,50.49,44.18,34.51,234.38,52.79,87.53,95.9,45.29,26.42
2012/8/9,30.5,620.73,128.51,425.94,26.7,17.7,68.32,52.02,44.28,23.87,65.72,40,36.92,7.72,33.82,28.86,33.03,642.35,37.23,49.96,44.34,34.55,234.06,53.15,87.15,95.06,45.11,26.91
2012/8/10,30.42,621.7,129.09,426.03,26.88,17.54,68.64,51.9,44.57,23.94,66.11,40.26,36.97,7.74,33.83,28.9,33.16,642,37.49,49.65,44.6,34.73,232.75,53.06,88.2,94.5,45.57,26.77
2012/8/13,30.39,630,128.32,425.63,26.69,17.34,68.46,51.9,44.42,23.72,65.99,40.26,36.99,7.72,33.96,28.78,33.18,660.01,37.39,49.86,44.27,34.55,232.44,52.82,87.9,95.85,46.11,26.55
2012/8/14,30.13,631.69,129.89,428.08,26.48,17.17,68.64,51.97,44.41,23.98,66.17,40.17,37.1,7.78,33.96,28.77,33.02,668.66,37.25,49.69,44.33,34.355,233.19,54.71,88.12,94.91,46.43,26.54
2012/8/15,30.2,630.83,129.06,427.09,26.27,17.35,68.35,52.82,44.06,24.04,66.42,40.33,37.07,7.87,33.97,28.74,33.17,667.54,37.1,49.89,44.19,34.19,237.42,55,87.81,94.22,48.1,26.83
2012/8/16,30.78,636.34,129.68,428.52,26.59,19.02,68.2,53.39,43.94,24.02,66.43,40.47,37.1,7.93,34.13,28.82,33.21,672.87,37.24,50.25,44.12,34.14,241.55,56.31,87.46,94.78,48.4,27.45
2012/8/17,30.9,648.11,128.69,426.81,26.33,19.06,67.8,53.13,43.34,23.79,65.92,40.84,36.98,8,34.03,29.03,33.11,677.14,37.17,50.46,44.06,34.02,241.17,56.73,87.36,96.26,48.22,27.87
2012/8/20,30.74,665.15,128.16,427.2,26.23,18.94,67.7,53.2,43.75,23.91,65.73,41.45,37.37,8.15,34.07,29.98,33.23,675.54,36.89,50.45,43.7,33.9,240.35,56.57,88.17,95.77,48.05,26.26
2012/8/21,30.8,656.062,127.52,423.31,26.11,19.16,67.78,53.42,42.94,23.69,65.3,41.14,38.04,8.19,34.38,30.73,33.03,669.51,36.59,49.64,42.89,34.04,239.45,56.32,88.52,95.85,48.09,26.43
2012/8/22,30.54,668.87,128.1,421.2,25.73,19.219,67.75,53.97,42.91,23.7,65.54,40.68,37.83,8.22,34.18,30.49,32.9,677.18,36.56,49.66,42.62,33.97,243.1,56.64,88.55,95.77,48.12,27.24
2012/8/23,30.255,662.63,127.15,418.33,25.04,19.125,67.74,53.92,42.8,23.74,65.33,40.37,37.23,8.15,33.92,29.585,32.76,676.8,36.56,49.17,42.25,33.945,241.198,56.55,88.25,95.45,47.9,27.36
2012/8/24,30.56,663.222,126.66,422.45,24.91,19.2,67.6,54.16,43.12,24.01,65.84,40.58,37.17,8.16,34.04,29.83,33.03,678.63,36.95,49.56,43.17,33.95,245.74,56.96,88.92,96.86,48.7,27.73
2012/8/27,30.69,675.68,127.66,423.42,24.84,19.36,67.49,54.61,43.05,23.89,65.72,40.46,37.23,8.07,34.02,29.69,33.19,669.22,36.87,49.63,42.76,33.97,243.92,56.67,89.54,96.43,49.14,27.7
2012/8/28,30.63,674.8,127.4,424.6,25,19.22,67.51,54.33,42.83,23.85,65.73,40.44,37.13,7.96,34.1,29.34,33.31,677.25,36.64,49.63,42.67,33.95,246.11,56.53,89.14,98.87,49.36,27.85
2012/8/29,30.65,673.466,128.02,425.82,24.668,19.2,67.37,54.64,43.06,23.96,65.61,40.81,37.3,8,34.07,29.91,33.5,688.01,36.82,50.04,43.09,33.95,247.12,56.84,89.65,98.69,49.17,28.34
2012/8/30,30.32,663.868,126.7,420.95,24.27,18.9,67.21,54.69,43.12,23.84,65.4,40.48,36.9,7.91,33.87,29.65,33.29,681.68,36.69,49.42,42.77,33.63,246.22,56.62,88.7,97.75,49.71,28.18
2012/8/31,30.82,665.24,128.25,422.9,24.83,19.08,67.43,54.3,43.05,23.86,65.54,40.66,37.14,7.99,34.03,29.71,33.41,685.09,36.64,49.47,42.94,33.53,248.27,56.75,89.49,97.36,49.61,28.48
2012/9/4,30.385,674.97,128.52,424.38,24.415,18.995,67.26,54.56,43.25,23.775,65.46,41.21,37.01,8,33.8,29.7,33.12,681.04,36.81,49.66,43.7,33.525,247.88,56.79,89.05,97.26,49.51,28.43
